datetime	alt	PRESSURE	AIR_TEMP	RAINFALL	MIXDEPTH	RELHUMID
05/20/10 14:00:00	100	982.1	288.2	0	327.6	82.9
05/20/10 14:00:00	500	938	290.5	0	325	58.8
05/20/10 15:00:00	10	994	291	0	368.5	79.3
05/20/10 15:00:00	100	982.4	289.1	0	369.8	80.3
05/20/10 15:00:00	500	938.2	290.3	0	366.1	57
05/20/10 16:00:00	10	994.6	292.6	0	416.1	74.4
05/20/10 16:00:00	100	983.4	290.6	0	418.2	75.4
05/20/10 16:00:00	500	938.4	290.9	0	412.5	53.2
05/20/10 17:00:00	10	995.1	294.1	0	462.5	69.4
05/20/10 17:00:00	100	984.5	292.2	0	466	70.2
05/20/10 17:00:00	500	938.7	291.7	0	460.3	49
05/20/10 18:00:00	10	995.6	295.5	0	506	64.7
05/20/10 18:00:00	100	985.5	293.7	0	511.4	65.3
05/20/10 18:00:00	500	939	292.4	0	508.3	44.8
05/20/10 19:00:00	10	995.5	295.5	0	470.1	64.8
05/20/10 19:00:00	100	985.9	293.6	0	475	65.1
05/20/10 19:00:00	500	939.4	292.2	0	476.4	46.4
05/20/10 20:00:00	10	995.3	295.1	0	419.7	65.7
05/20/10 20:00:00	100	986.2	293.2	0	423.6	65.7
05/20/10 20:00:00	500	939.6	291.8	0	427.7	49
05/20/10 21:00:00	10	995.1	294.7	0	370.6	66.5
05/20/10 21:00:00	100	986.5	292.9	0	373.5	66.3
05/20/10 21:00:00	500	939.8	291.3	0	378.2	51.4
05/20/10 22:00:00	10	994.6	294	0	363.6	68.3
05/20/10 22:00:00	100	985.8	292.3	0	366	68.2
05/20/10 22:00:00	500	939.3	291.1	0	370.3	51.9
05/20/10 23:00:00	10	994	293.1	0	364.7	70.4
05/20/10 23:00:00	100	985	291.6	0	366.6	70.5
05/20/10 23:00:00	500	938.7	290.8	0	370.7	52
05/21/10 00:00:00	10	993.5	292.3	0	365.8	72.6
05/21/10 00:00:00	100	984.2	291	0	367.3	72.7
05/21/10 00:00:00	500	938	290.6	0	371	52
05/21/10 01:00:00	10	993.4	291.3	0	344.5	75.5
05/21/10 01:00:00	100	984.2	290.2	0	345.5	75.3
05/21/10 01:00:00	500	938	290.1	0	348.5	51.1
05/21/10 02:00:00	10	993.3	290.2	0	318.2	78.6
05/21/10 02:00:00	100	984.1	289.3	0	318.6	77.9
05/21/10 02:00:00	500	938	289.7	0	320.5	50
05/21/10 03:00:00	10	993.3	289.2	0	291.4	81.7
05/21/10 03:00:00	100	984.2	288.3	0	290.9	80.6
05/21/10 03:00:00	500	938	289.2	0	291.7	48.9
05/21/10 04:00:00	10	993.1	288.6	0	290.8	83.4
05/21/10 04:00:00	100	983.4	287.8	0	289.7	82.5
05/21/10 04:00:00	500	937.3	288.8	0	289.7	50.3
05/21/10 05:00:00	10	992.9	288.1	0	294.1	84.7
05/21/10 05:00:00	100	982.6	287.4	0	293.1	84.4
05/21/10 05:00:00	500	936.7	288.5	0	292.9	52.2
05/21/10 06:00:00	10	992.6	287.6	0	295.8	86.1
05/21/10 06:00:00	100	981.9	287	0	295.4	86.4
05/21/10 06:00:00	500	936.1	288.3	0	296	54
05/21/10 07:00:00	10	992.5	287.3	0	296.2	87.4
05/21/10 07:00:00	100	981.9	286.8	0	295.5	87.9
05/21/10 07:00:00	500	936.3	287.8	0	296.2	61.7
05/21/10 08:00:00	10	992.3	287.1	0	296.2	88.7
05/21/10 08:00:00	100	981.9	286.6	0	295	89.2
05/21/10 08:00:00	500	936.4	287.3	0	295.9	70.3
